ID,Title,URL
1068,Weird Algorithm,https://cses.fi/problemset/task/1068
1083,Missing Number,https://cses.fi/problemset/task/1083
1069,Repetitions,https://cses.fi/problemset/task/1069
1094,Increasing Array,https://cses.fi/problemset/task/1094
1070,Permutations,https://cses.fi/problemset/task/1070
1071,Number Spiral,https://cses.fi/problemset/task/1071
1072,Two Knights,https://cses.fi/problemset/task/1072
1092,Two Sets,https://cses.fi/problemset/task/1092
1617,Bit Strings,https://cses.fi/problemset/task/1617
1618,Trailing Zeros,https://cses.fi/problemset/task/1618
1754,Coin Piles,https://cses.fi/problemset/task/1754
1755,Palindrome Reorder,https://cses.fi/problemset/task/1755
2205,Gray Code,https://cses.fi/problemset/task/2205
2165,Tower of Hanoi,https://cses.fi/problemset/task/2165
1622,Creating Strings,https://cses.fi/problemset/task/1622
1623,Apple Division,https://cses.fi/problemset/task/1623
1624,Chessboard and Queens,https://cses.fi/problemset/task/1624
3399,Raab Game I,https://cses.fi/problemset/task/3399
3419,Mex Grid Construction,https://cses.fi/problemset/task/3419
3217,Knight Moves Grid,https://cses.fi/problemset/task/3217
3311,Grid Coloring I,https://cses.fi/problemset/task/3311
2431,Digit Queries,https://cses.fi/problemset/task/2431
1743,String Reorder,https://cses.fi/problemset/task/1743
1625,Grid Path Description,https://cses.fi/problemset/task/1625
1621,Distinct Numbers,https://cses.fi/problemset/task/1621
1084,Apartments,https://cses.fi/problemset/task/1084
1090,Ferris Wheel,https://cses.fi/problemset/task/1090
1091,Concert Tickets,https://cses.fi/problemset/task/1091
1619,Restaurant Customers,https://cses.fi/problemset/task/1619
1629,Movie Festival,https://cses.fi/problemset/task/1629
1640,Sum of Two Values,https://cses.fi/problemset/task/1640
1643,Maximum Subarray Sum,https://cses.fi/problemset/task/1643
1074,Stick Lengths,https://cses.fi/problemset/task/1074
2183,Missing Coin Sum,https://cses.fi/problemset/task/2183
2216,Collecting Numbers,https://cses.fi/problemset/task/2216
2217,Collecting Numbers II,https://cses.fi/problemset/task/2217
1141,Playlist,https://cses.fi/problemset/task/1141
1073,Towers,https://cses.fi/problemset/task/1073
1163,Traffic Lights,https://cses.fi/problemset/task/1163
3420,Distinct Values Subarrays,https://cses.fi/problemset/task/3420
3421,Distinct Values Subsequences,https://cses.fi/problemset/task/3421
2162,Josephus Problem I,https://cses.fi/problemset/task/2162
2163,Josephus Problem II,https://cses.fi/problemset/task/2163
2168,Nested Ranges Check,https://cses.fi/problemset/task/2168
2169,Nested Ranges Count,https://cses.fi/problemset/task/2169
1164,Room Allocation,https://cses.fi/problemset/task/1164
1620,Factory Machines,https://cses.fi/problemset/task/1620
1630,Tasks and Deadlines,https://cses.fi/problemset/task/1630
1631,Reading Books,https://cses.fi/problemset/task/1631
1641,Sum of Three Values,https://cses.fi/problemset/task/1641
1642,Sum of Four Values,https://cses.fi/problemset/task/1642
1645,Nearest Smaller Values,https://cses.fi/problemset/task/1645
1660,Subarray Sums I,https://cses.fi/problemset/task/1660
1661,Subarray Sums II,https://cses.fi/problemset/task/1661
1662,Subarray Divisibility,https://cses.fi/problemset/task/1662
2428,Distinct Values Subarrays II,https://cses.fi/problemset/task/2428
1085,Array Division,https://cses.fi/problemset/task/1085
1632,Movie Festival II,https://cses.fi/problemset/task/1632
1644,Maximum Subarray Sum II,https://cses.fi/problemset/task/1644
1633,Dice Combinations,https://cses.fi/problemset/task/1633
1634,Minimizing Coins,https://cses.fi/problemset/task/1634
1635,Coin Combinations I,https://cses.fi/problemset/task/1635
1636,Coin Combinations II,https://cses.fi/problemset/task/1636
1637,Removing Digits,https://cses.fi/problemset/task/1637
1638,Grid Paths I,https://cses.fi/problemset/task/1638
1158,Book Shop,https://cses.fi/problemset/task/1158
1746,Array Description,https://cses.fi/problemset/task/1746
2413,Counting Towers,https://cses.fi/problemset/task/2413
1639,Edit Distance,https://cses.fi/problemset/task/1639
